SKU,Name,Category,Unit,UnitPrice,Barcode,Grade,Size,Thickness,MaterialType,Description,StockQuantity
SS-RT202-4X1P5,"SS Round Tube 202 4"" x 1.5mm",Stainless Tubes,pc,2099,8.903E+12,202,"4"" x 1.5mm",1.5mm,Standard,"Stainless round tube 202 4"" x 1.5mm Standard",0
SS-SQT202-1-2X1-2X1P2,"SS Square Tube 202 1/2"" x 1/2"" x 1.2mm",Stainless Tubes,pc,264,8.903E+12,202,"1/2"" x 1/2"" x 1.2mm",1.2mm,Standard,"Stainless square tube 202 1/2"" x 1/2"" x 1.2mm Standard",0
SS-SQT202-3-4X3-4X1P2,"SS Square Tube 202 3/4"" x 3/4"" x 1.2mm",Stainless Tubes,pc,365,8.903E+12,202,"3/4"" x 3/4"" x 1.2mm",1.2mm,Standard,"Stainless square tube 202 3/4"" x 3/4"" x 1.2mm Standard",0
SS-SQT202-1X1X1P2,"SS Square Tube 202 1"" x 1"" x 1.2mm",Stainless Tubes,pc,492,8.903E+12,202,"1"" x 1"" x 1.2mm",1.2mm,Standard,"Stainless square tube 202 1"" x 1"" x 1.2mm Standard",0
SS-SQT202-11-4X11-4X1P2,"SS Square Tube 202 1 1/4"" x 1 1/4"" x 1.2mm",Stainless Tubes,pc,599,8.903E+12,202,"1 1/4"" x 1 1/4"" x 1.2mm",1.2mm,Standard,"Stainless square tube 202 1 1/4"" x 1 1/4"" x 1.2mm Standard",0
SS-SQT202-11-2X11-2X1P2,"SS Square Tube 202 1 1/2"" x 1 1/2"" x 1.2mm",Stainless Tubes,pc,789,8.903E+12,202,"1 1/2"" x 1 1/2"" x 1.2mm",1.2mm,Standard,"Stainless square tube 202 1 1/2"" x 1 1/2"" x 1.2mm Standard",0
SS-SQT202-2X2X1P2,"SS Square Tube 202 2"" x 2"" x 1.2mm",Stainless Tubes,pc,1074,8.903E+12,202,"2"" x 2"" x 1.2mm",1.2mm,Standard,"Stainless square tube 202 2"" x 2"" x 1.2mm Standard",0
SS-SQT202-1-2X1-2X1P5,"SS Square Tube 202 1/2"" x 1/2"" x 1.5mm",Stainless Tubes,pc,323,8.903E+12,202,"1/2"" x 1/2"" x 1.5mm",1.5mm,Standard,"Stainless square tube 202 1/2"" x 1/2"" x 1.5mm Standard",0
SS-SQT202-3-4X3-4X1P5,"SS Square Tube 202 3/4"" x 3/4"" x 1.5mm",Stainless Tubes,pc,490,8.903E+12,202,"3/4"" x 3/4"" x 1.5mm",1.5mm,Standard,"Stainless square tube 202 3/4"" x 3/4"" x 1.5mm Standard",0
SS-SQT202-1X1X1P5,"SS Square Tube 202 1"" x 1"" x 1.5mm",Stainless Tubes,pc,650,8.903E+12,202,"1"" x 1"" x 1.5mm",1.5mm,Standard,"Stainless square tube 202 1"" x 1"" x 1.5mm Standard",0
SS-SQT202-11-4X11-4X1P5,"SS Square Tube 202 1 1/4"" x 1 1/4"" x 1.5mm",Stainless Tubes,pc,750,8.903E+12,202,"1 1/4"" x 1 1/4"" x 1.5mm",1.5mm,Standard,"Stainless square tube 202 1 1/4"" x 1 1/4"" x 1.5mm Standard",0
